ID,Name,Date,Year,Month,Day,Time,Status,Latitude,Longitude,Maximum.Wind,Minimum.Pressure,Decade
AL021857,UNNAMED,1857-09-06,1857,September,6,1800,TS,26.5,-73,40,NA,Other
AL021857,UNNAMED,1857-09-07,1857,September,7,1800,TS,27.5,-72.3,50,NA,Other
AL061858,UNNAMED,1858-10-23,1858,October,23,1800,Cat. 1,29.5,-67.4,80,NA,Other
AL061858,UNNAMED,1858-10-21,1858,October,21,0,TS,21.5,-73.6,50,NA,Other
AL061858,UNNAMED,1858-10-21,1858,October,21,1800,TS,22.5,-72.5,60,NA,Other
AL051859,UNNAMED,1859-09-15,1859,September,15,600,Cat. 1,28.5,-89,70,NA,Other
AL071859,UNNAMED,1859-10-17,1859,October,17,1800,TS,26.5,-80.5,50,NA,Other
AL071859,UNNAMED,1859-10-16,1859,October,16,1800,TS,25.5,-76.6,60,NA,Other
AL061859,UNNAMED,1859-10-02,1859,October,2,0,Cat. 1,17.5,-75.4,80,NA,Other
AL061859,UNNAMED,1859-10-03,1859,October,3,1800,Cat. 2,24.5,-73.4,90,NA,Other
AL061859,UNNAMED,1859-10-04,1859,October,4,600,Cat. 3,27.5,-72.4,100,NA,Other
AL031859,UNNAMED,1859-09-02,1859,September,2,1200,Cat. 1,17.5,-61.8,70,NA,Other
AL031859,UNNAMED,1859-09-02,1859,September,2,1800,Cat. 1,17.5,-63,70,NA,Other
AL011860,UNNAMED,1860-08-10,1860,August,10,1200,Cat. 2,27.5,-89,90,NA,Other
AL011860,UNNAMED,1860-08-09,1860,August,9,1200,Cat. 1,27.5,-86.8,70,NA,Other
AL041860,UNNAMED,1860-09-12,1860,September,12,1800,Cat. 2,25.5,-86.6,90,NA,Other
AL011860,UNNAMED,1860-08-09,1860,August,9,600,TS,27.5,-86.3,60,NA,Other
AL011860,UNNAMED,1860-08-12,1860,August,12,600,Cat. 3,30.5,-88.9,100,NA,Other
AL071860,UNNAMED,1860-10-21,1860,October,21,0,Cat. 1,24.5,-72.3,70,NA,Other
AL071860,UNNAMED,1860-10-20,1860,October,20,0,Cat. 1,23.5,-70.6,70,NA,Other
AL081861,UNNAMED,1861-11-01,1861,November,1,600,TS,25.5,-82.1,60,NA,Other
AL021861,UNNAMED,1861-08-15,1861,August,15,600,Cat. 1,23.5,-79.9,80,NA,Other
AL051861,UNNAMED,1861-09-27,1861,September,27,600,Cat. 1,28.5,-77.5,70,NA,Other
AL021861,UNNAMED,1861-08-14,1861,August,14,1200,Cat. 1,22.5,-76,70,NA,Other
AL021861,UNNAMED,1861-08-14,1861,August,14,0,TS,21.5,-73,50,NA,Other
AL021861,UNNAMED,1861-08-13,1861,August,13,1200,TS,20.5,-70,40,NA,Other
AL011861,UNNAMED,1861-07-10,1861,July,10,1800,Cat. 2,29.5,-70.1,90,NA,Other
AL011861,UNNAMED,1861-07-06,1861,July,6,600,TS,15.5,-59.3,50,NA,Other
AL061862,UNNAMED,1862-11-25,1862,November,25,0,TS,10.5,-79.8,40,NA,Other
AL061862,UNNAMED,1862-11-25,1862,November,25,600,TS,10.5,-80,40,NA,Other
AL061862,UNNAMED,1862-11-24,1862,November,24,0,TS,10.5,-79.5,60,NA,Other
AL061862,UNNAMED,1862-11-24,1862,November,24,600,TS,10.5,-79.5,60,NA,Other
AL061862,UNNAMED,1862-11-24,1862,November,24,1200,TS,10.5,-79.6,50,NA,Other
AL061862,UNNAMED,1862-11-24,1862,November,24,1800,TS,10.5,-79.7,50,NA,Other
AL061862,UNNAMED,1862-11-23,1862,November,23,0,TS,10.5,-79.5,60,NA,Other
AL061862,UNNAMED,1862-11-23,1862,November,23,600,TS,10.5,-79.5,60,NA,Other
AL061862,UNNAMED,1862-11-23,1862,November,23,1200,TS,10.5,-79.5,60,NA,Other
AL061862,UNNAMED,1862-11-23,1862,November,23,1800,TS,10.5,-79.5,60,NA,Other
AL061862,UNNAMED,1862-11-22,1862,November,22,0,TS,10.5,-79.5,60,NA,Other
AL061862,UNNAMED,1862-11-22,1862,November,22,600,TS,10.5,-79.5,60,NA,Other
AL061862,UNNAMED,1862-11-22,1862,November,22,1200,TS,10.5,-79.5,60,NA,Other
AL061862,UNNAMED,1862-11-22,1862,November,22,1800,TS,10.5,-79.5,60,NA,Other
AL031862,UNNAMED,1862-09-15,1862,September,15,1800,Cat. 2,28.5,-71.1,90,NA,Other
AL031862,UNNAMED,1862-09-12,1862,September,12,1200,TS,22.5,-58,60,NA,Other
AL031863,UNNAMED,1863-08-19,1863,August,19,0,Cat. 1,26.5,-66.6,70,NA,Other
AL051863,UNNAMED,1863-09-09,1863,September,9,0,TS,18.5,-60.2,60,NA,Other
AL041863,UNNAMED,1863-08-27,1863,August,27,0,Cat. 2,29.5,-75.5,90,NA,Other
AL031863,UNNAMED,1863-08-20,1863,August,20,1200,Cat. 2,30.5,-72.6,90,NA,Other
AL051864,UNNAMED,1864-10-22,1864,October,22,600,TS,29.5,-72.6,50,NA,Other
AL051864,UNNAMED,1864-10-22,1864,October,22,1200,TS,30.5,-72.9,50,NA,Other
AL031864,UNNAMED,1864-08-30,1864,August,30,600,Cat. 1,16.5,-78.6,70,NA,Other
AL051864,UNNAMED,1864-10-22,1864,October,22,0,TS,28.5,-72,50,NA,Other
AL071865,UNNAMED,1865-10-19,1865,October,19,0,TS,10.5,-80.6,40,NA,Other
AL071865,UNNAMED,1865-10-18,1865,October,18,0,TS,9.5,-80.4,40,NA,Other
AL071865,UNNAMED,1865-10-23,1865,October,23,1800,Cat. 1,26.5,-80.2,80,NA,Other
AL041865,UNNAMED,1865-09-09,1865,September,9,1200,Cat. 2,18.5,-76.3,90,NA,Other
AL041865,UNNAMED,1865-09-07,1865,September,7,1200,Cat. 2,16.5,-63.8,90,NA,Other
AL061865,UNNAMED,1865-09-28,1865,September,28,1200,Cat. 1,25.5,-69.5,70,NA,Other
AL071866,UNNAMED,1866-10-29,1866,October,29,600,TS,29.5,-75.8,50,NA,Other
AL061866,UNNAMED,1866-10-03,1866,October,3,1200,Cat. 2,30.5,-76.3,90,NA,Other
AL061866,UNNAMED,1866-09-28,1866,September,28,1800,Cat. 2,18.5,-59.5,90,NA,Other
AL021866,UNNAMED,1866-08-16,1866,August,16,1200,Cat. 1,18.5,-86.9,80,NA,Other
AL021866,UNNAMED,1866-08-14,1866,August,14,600,Cat. 2,15.5,-70.1,90,NA,Other
AL061866,UNNAMED,1866-10-03,1866,October,3,0,Cat. 3,28.5,-77.6,100,NA,Other
AL061866,UNNAMED,1866-10-02,1866,October,2,0,Cat. 4,24.5,-77.1,120,938,Other
AL061866,UNNAMED,1866-10-01,1866,October,1,1200,Cat. 4,22.5,-75,120,NA,Other
AL081867,UNNAMED,1867-10-09,1867,October,9,1200,TS,17.5,-62.8,40,NA,Other
AL071867,UNNAMED,1867-10-07,1867,October,7,1200,TS,30.5,-81,40,NA,Other
AL071867,UNNAMED,1867-10-06,1867,October,6,1200,Cat. 1,29.5,-84,70,NA,Other
AL021867,UNNAMED,1867-07-31,1867,July,31,0,Cat. 1,25.5,-72.1,80,NA,Other
AL021867,UNNAMED,1867-07-30,1867,July,30,1200,Cat. 1,23.5,-69.5,80,NA,Other
